,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
6793,11846,Father of the Bride,/bNQpz6e35wuA3QgJb9VF2oUpZNA.jpg,"George Banks is an ordinary, middle-class man whose 21 year-old daughter Annie has decided to marry a man from an upper-class family, but George can't think of what life would be like without his daughter. He becomes slightly insane, but his wife tries to make him happy for Annie, but when the wedding takes place at their home and a foreign wedding planner takes over the ceremony.",0, Comedy Romance,1991-12-20,5.490622,89325780.0,Charles Shyer, Steve Martin Diane Keaton Kimberly Williams-Paisley, son-in-law father-in-law fool daughter wedding
6795,10715,Looney Tunes: Back in Action,/ownVrxw7OYOo8vwk2g4q74Oe8Wa.jpg,"Bugs Bunny and Daffy Duck are up to their feuding ways again. Tired of playing second fiddle to Bugs, Daffy has decided to leave the Studio for good. He is aided by Warner Bros.' humor impaired Vice President of Comedy, Kate Houghton, who releases him from his contract and instructs WB security guard/aspiring stunt man DJ Drake to capture and ""escort"" Daffy off the studio lot.",80000000, Animation Comedy Family,2003-11-14,13.666488,68514844.0,Joe Dante, Brendan Fraser Jenna Elfman Steve Martin, spy duck bunny wretch film industry live action and animation
6796,8619,Master and Commander: The Far Side of the World,/4o4JyEQldHQiqJn0BBRFppDmI65.jpg,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",150000000, Adventure,2003-11-14,8.693298,212011111.0,Peter Weir, Russell Crowe Paul Bettany James D'Arcy, naturalist frigate self surgery sea battle weevil
6797,21525,Tupac: Resurrection,/e8HGKa3xN35yVsBEHfvVS8ywiPb.jpg,"Home movies, photographs, and recited poetry illustrate the life of Tupac Shakur, one of the most beloved, revolutionary, and volatile hip-hop MCs of all time.",300000, Music Documentary,2003-01-23,2.409278,7808524.0,Lauren Lazin,, rap music hip-hop blunt woman director
6801,4970,Gothika,/jwTiVNi21EhaP8QbkJkVUn2SYsa.jpg,"After a car crash, a criminal psychologist (Halle Berry) comes to, only to find that she's a patient in the same mental institution that currently employs her. It seems she's been accused of murdering her husband -- but she has no memory of committing the crime. As she tries to regain her memory and convince her co-workers of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",40000000, Horror Thriller,2003-11-21,10.939066,141591324.0,Mathieu Kassovitz, Halle Berry Robert Downey Jr. Charles S. Dutton, amnesia mental institution patient trust false accusations medication gothic mental illness
6802,470,21 Grams,/Aps7GzrYiJZKHNT524Rsg4jaXej.jpg,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",20000000, Drama Crime Thriller,2003-09-06,6.372278,60427839.0,Alejandro González Iñárritu, Sean Penn Naomi Watts Benicio del Toro, life and death transplantation suicide attempt desperation loss of family ex-detainee sadness rage and hate car crash
6803,11042,Les Invasions barbares,/fN6I9iaNXjNZiyyee20MRBGsnjI.jpg,"In this belated sequel to 'The Decline of the American Empire', 50-something Montreal college professor, Remy, learns that he is dying of liver cancer. He decides to make amends meet to his friends and family before he dies. He first tries to made peace with his ex-wife Louise, who asks their estranged son Sebastian, a successful businessman living in London, to come home. Sebastian makes the impossible happen, using his contacts and disrupting the entire Canadian system in every way possible to help his father fight his terminal illness to the bitter end, while he also tries to reunite his former friends, Pierre, Alain, Dominique, Diane, and Claude to see their old friend before he passes on.",8000000, Comedy Crime Drama,2003-05-21,4.125182,3432342.0,Denys Arcand, Rémy Girard Stéphane Rousseau Marie-Josée Croze, father son relationship socialism yuppie professor dying and death cancer money university illness dying family conflict friend
6805,10147,Bad Santa,/gSr4lRecwK2t7HcMbngtXYWaxFU.jpg,"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot.",23000000, Drama Comedy Crime,2003-11-26,10.930143,76488889.0,Terry Zwigoff, Billy Bob Thornton Tony Cox Brett Kelly, holiday elves christmas party department store safe drink little people christmas eve christmas
6806,10756,The Haunted Mansion,/gEAvUQ4357Fghaqthi7X3wK9Y9U.jpg,"Workaholic Jim Evers and his wife/business partner, Sara get a call one night from mansion owner, Edward Gracey wants to sell his house. Once the Evers family arrive at the mansion a butler takes them to dine with Gracey. Gracey takes one look at Sara and he thinks she's his lost lover.",90000000, Thriller Fantasy Comedy Family Mystery,2003-11-25,11.605735,182290266.0,Rob Minkoff, Eddie Murphy Terence Stamp Nathaniel Parker, secret passage magic estate agent haunted house family vacation ghost aftercreditsstinger
6807,9562,Timeline,/A6tzqXzlUjCOZT035zYOLqfYFSr.jpg,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,80000000, Action Adventure Science Fiction,2003-11-26,6.982762,43935763.0,Richard Donner, Paul Walker Frances O'Connor Gerard Butler, professor time travel quantum mechanics hundred years' war excavation knight medieval times
6809,11012,Damage,/cmR8sXNPjvIgxuffM2sb4yaeC4W.jpg,The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,0, Drama Romance,1992-12-02,6.384589,7532911.0,Louis Malle, Jeremy Irons Juliette Binoche Miranda Richardson, father son relationship loss of brother brother sister relationship longing politician in flagranti extramarital affair
6814,9556,Darkman,/hHEliLwA6NVJQUBKshzweG7GG1S.jpg,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",16000000, Action Science Fiction Crime,1990-08-24,8.899418,48878502.0,Sam Raimi, Liam Neeson Frances McDormand Colin Friels, corruption experiment burn mask gangster boss los angeles madness outsider disfigurement conflagration darkman
6816,1702,Death Machine,/yg9zyB7CgbfUTXY0FQb2rUB0HYa.jpg,"Chaank Armaments is experimenting with the ultimate fighting machine which is part human - part machine. So far, the Hardman project has been unreliable and has killed a number of innocent people. The genius behind this project is Jack who lives in a world of models, toys and magazines. When he is fired by Cale for killing a few corporate officers, he unleashes the ultimate killing machine called the 'Warbeast' against Cale and those who would help her.",0, Action Horror Science Fiction Thriller,1994-12-23,9.217153,1422749.0,Stephen Norrington, Ely Pouget Brad Dourif William Hootkins, killer robot psychopath
6821,4823,Final Analysis,/e8fXQhLhgSbPd9zKNQPiAS8O8qW.jpg,Barr is a psychiatrist who falls in love with the sister of one of his clients. She's beautiful and married to a gangster. She hates her husband but is unable to escape from him.,0, Drama Thriller Romance,1992-02-07,4.43707,28590665.0,Phil Joanou, Richard Gere Kim Basinger Uma Thurman, sex infidelity sister murder arson gangster lust psychiatrist extramarital affair treatment neo-noir
6825,10952,New Jack City,/txv0O2JFb2FimlR3Afhzc1z2Gas.jpg,"A gangster, Nino, is in the Cash Money Brothers, making a million dollars every week selling crack. A cop, Scotty, discovers that the only way to infiltrate the gang is to become a dealer himself.",8500000, Thriller Crime Drama,1991-03-08,12.979446,47624253.0,Mario Van Peebles, Wesley Snipes Ice-T Allen Payne, drug dealer undercover agent gang leader crack cops
6827,860,WarGames,/rQocmooj7bFKS2vZfzWBB5O12eR.jpg,"High School student David Lightman (Matthew Broderick) has a talent for hacking. But while trying to hack into a computer system to play unreleased video games, he unwittingly taps into the Defense Department's war computer and initiates a confrontation of global proportions! Together with his girlfriend (Ally Sheedy) and a wizardly computer genius (John Wood), David must race against time to outwit his opponent...and prevent a nuclear Armageddon.",12000000, Thriller Science Fiction,1983-06-03,8.321647,79567667.0,John Badham, Matthew Broderick Dabney Coleman Ally Sheedy, video game artificial intelligence fbi cold war hacker prosecution norad government computer nuclear threat
6830,5000,Jeux interdits,/eh4Zgusn7eidFgIAYUNFo680UUt.jpg,"Orphaned after a Nazi air raid, Paulette, a young Parisian girl, runs into Michel, an older peasant boy, and the two quickly become close. Together, they try to make sense of the chaotic and crumbling world around them, attempting to cope with death as they create a burial ground for Paulette's deceased pet dog. Eventually, however, Paulette's stay with Michel's family is threatened by the harsh realities of wartime.",0, Drama History,1952-05-09,3.936747,10188.0,René Clément, Brigitte Fossey Georges Poujouly Amédée, france world war ii exodus foster parents funeral postwar period dead animal death cross french countryside abandonment
6834,31510,Ben-Hur: A Tale of the Christ,/d9tvEoCuDoalUH2ODTWFOp7dyqt.jpg,"After having not seen one another in years, wealthy Jewish citizen Judah Ben-Hur and his boyhood close friend Messala, now a Roman tribune, happen to meet. When an accident occurs, Messala, who has become small-minded and arrogant, seeks to destroy the lives of Judah and his family members.",3900000, Adventure Drama,1925-12-30,2.301098,9000000.0,Charles Brabin, Ramon Novarro Francis X. Bushman May McAvoy, chariot race revenge silent film seductress sea battle spectacle two strip technicolor galley slave enslavement temptress nativity lepers
6837,8289,Gorky Park,/vPsILhxC7sWRQIa6f1SnbvTm5XL.jpg,"Police Inspector Renko tries to solve the case of three bodies found in Moscow's Gorky Park but finds his attempts to solve the crime impeded by his superiors. Working on his own, Renko seeks out more information and stumbles across a conspiracy involving the highest levels of the government.",0, Thriller Crime Drama,1983-12-15,4.598954,16175602.0,Michael Apted, William Hurt Lee Marvin Brian Dennehy, cold war kgb municipal park politician suspense
6839,11002,"Greystoke: The Legend of Tarzan, Lord of the Apes",/1h56gmvKPma5c26McNisga1B2pG.jpg,"A shipping disaster in the 19th Century has stranded a man and woman in the wilds of Africa. The lady is pregnant, and gives birth to a son in their tree house. Soon after, a family of apes stumble across the house and in the ensuing panic, both parents are killed. A female ape takes the tiny boy as a replacement for her own dead infant, and raises him as her son. Twenty years later, Captain Phillippe D'Arnot discovers the man who thinks he is an ape. Evidence in the tree house leads him to believe that he is the direct descendant of the Earl of Greystoke, and thus takes it upon himself to return the man to civilization.",0, Adventure Drama Action Romance,1984-03-30,4.627865,45858563.0,Hugh Hudson, Christopher Lambert Andie MacDowell Ralph Richardson, england baby civilization shipwreck tarzan stranded monkey
6841,5143,Hannah and Her Sisters,/dFq98GFwGBS7DF5XihdcR1kMN4G.jpg,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",6400000, Comedy Drama,1986-02-07,9.57874,40084041.0,Woody Allen, Woody Allen Michael Caine Mia Farrow, writing opera thanksgiving hypochondriac television producer architecture singing new york city relationship art fear of dying
6842,11384,The Hard Way,/4JrgkB9QEntDPw0Bczmd9fYFGvV.jpg,"Seeking to raise his credibility as an actor and to land a role as a tough cop on a new show, Hollywood action star Nick Lang works a deal with New York City Police Capt. Brix, who by chance is one of his fans. Nick will be paired with detective Lt. John Moss and learn how to act like a real cop. But when Nick drives John crazy with questions and imitating him, he gets in the way of John's pursuit of a serial killer.",0, Action Comedy Crime,1991-03-08,7.122938,65595485.0,John Badham, Michael J. Fox James Woods Stephen Lang, dual identity identity undercover agent role reversal
6844,8010,Highlander II: The Quickening,/7W43CXQh6jF9NhnBnlA4BoaFp8W.jpg,"In the year 2025, the ozone layer is believed to have been destroyed. It is up to MacLeod and Rameriz to set things right. Opposition comes from both the planet Ziest (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Ziest.",30000000, Action Fantasy Science Fiction,1991-01-30,8.032638,15556340.0,Russell Mulcahy, Christopher Lambert Sean Connery Virginia Madsen, new york scotland immortality
6848,9292,Hudson Hawk,/j9L6qA8HMgNrDzVyCukGeaCrRf6.jpg,"Eddie Hawkins, called Hudson Hawk has just been released from ten years of prison and is planning to spend the rest of his life honestly. But then the crazy Mayflower couple blackmail him to steal some of the works of Leonardo da Vinci. If he refuses, they threaten to kill his friend Tommy.",65000000, Action Adventure Comedy,1991-05-23,9.782014,17218080.0,Michael Lehmann, Bruce Willis Danny Aiello Andie MacDowell, vatican leonardo da vinci painting master thief
6849,11850,Invasion of the Body Snatchers,/emvdLecrjSLO8pJII1XbYJqXhcB.jpg,"The first remake of the paranoid infiltration classic moves the setting for the invasion, from a small town to the city of San Francisco and starts as Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted ""replacement"", realises that he and his friends must escape or suffer the same fate. But who can he trust to help him and who has already been snatched?",3500000, Horror Mystery Science Fiction Thriller,1978-12-19,5.219641,24046533.0,Philip Kaufman, Donald Sutherland Brooke Adams Leonard Nimoy, taxi san francisco 1970s psychoanalysis remake alien alien invasion alien infection epidemic biologist doppelganger emotionless
6852,951,Kindergarten Cop,/7NkSMYuyVamvCnM5mYD6FkD59Wu.jpg,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one.",15000000, Comedy,1990-12-21,3.67003,201957688.0,Ivan Reitman, Arnold Schwarzenegger Penelope Ann Miller Pamela Reed, crime fighter cook drug dealer dying and death kindergarten kiss police teacher children education
6855,9319,The Last Boy Scout,/cTl2WqsERuZ5vYmAmtfsPIJBLr0.jpg,"When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl (ex-football player Jimmy Dix) attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.",29000000, Action Thriller,1991-12-11,10.550259,59509925.0,Tony Scott, Bruce Willis Damon Wayans Chelsea Field, bomb corruption assassin sniper anti hero cocaine senator strip club cynicism puppet swimming pool dysfunctional marriage los angeles police detective alcoholic private detective bribery frame up exotic dancer child kidnapping
6856,1643,Ultimo tango a Parigi,/6ppSHkDe7CoxyvFEc6JILuKnAu0.jpg,A young Parisian woman begins a sordid affair with a middle-aged American businessman whom lays out ground rules that their clandestine relationship will be based only on sex.,1250000, Drama Romance,1972-10-14,12.74564,36144000.0,Bernardo Bertolucci, Marlon Brando Maria Schneider Jean-Pierre Léaud, paris sex nudity business man love tragedy relationship american woman apartment extramarital affair parisian clandestine
6857,2007,Lorenzo's Oil,/d4Yq4Y4ieKLD8JzxSv1g8dZzcLN.jpg,"Lorenzo Odone was a normal child until the age of 7. After then, strange things began to happen to him: he would have blackouts, memory lapses, and other strange mental phemonenons. He is eventually diagnosed as suffering from ALD: an extremely rare incurable degenerative brain disorder. Frustrated at the failings of doctors and medicine in this area, the Odones begin to educate themselves",0, Drama,1992-12-30,9.968395,7286388.0,George Miller, Susan Sarandon Nick Nolte Peter Ustinov, parent child relationship medicine loss of child dying and death
6860,2612,Mr. Destiny,/6dgR1qZK3cTx90P8T6pmVCWYyko.jpg,"Larry Burrows is unhappy and feels powerless over his life. He believes his entire life could have turned out differently had he not missed that shot in a baseball game when was a kid. One night he meets this mysterious man, who could change his fate by offering him that alternative life he always dreamed of. But as Burrows embarks on this journey of self discovery he realises that even this new life has its problems and drawbacks..",20000000, Fantasy Comedy Science Fiction Romance,1990-10-12,4.414928,15379253.0,James Orr, Jim Belushi Michael Caine Linda Hamilton, wish
6863,2611,Only the Lonely,/e1i9RczRVpmbmrSfgdWEN5DdQ0m.jpg,"Danny Muldoon, a Chicago policeman, still lives with his overbearing mother Rose. He meets and falls in love with Theresa Luna , whose father owns the local funeral parlour. Naturally, his mother objects to the relationship, and Danny and Theresa must either overcome her objections or give up the romance.",0, Comedy Romance,1991-05-24,10.313689,21830957.0,Chris Columbus, John Candy Maureen O'Hara Ally Sheedy, jealousy mama's boy falling in love
6864,1825,Over the Top,/nvlp5fCvs56aiX17rzmWmTHjSaq.jpg,"Sylvester Stallone stars as hard-luck big-rig trucker Lincoln Hawk and takes us under the glaring Las Vegas lights for all the boisterous action of the World Armwrestling Championship.  Relying on wits and willpower, Hawk tries to rebuild his life by capturing the first-place prize money, and the love of the son he abandoned years earlier into the keeping of his rich, ruthless father-in-law.",25000000, Action Drama,1987-02-13,8.431956,16057580.0,Menahem Golan, Sylvester Stallone Robert Loggia Rick Zumwalt, sport bad father-in-law  armwrestling
6865,10538,Passenger 57,/mOh1t38TkW6JVg6ylQusKBPxxqa.jpg,"An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand this sort of thing.",15000000, Action Adventure Thriller,1992-11-05,18.451321,44065653.0,Kevin Hooks, Wesley Snipes Bruce Payne Tom Sizemore, airport florida fbi hijacking ex-cop los angeles fbi agent
6866,11092,Presumed Innocent,/sE6tuclHXvrst1ZFAYwcPr1OT1L.jpg,"Life takes a nasty twist for D.A. Rusty Sabich when the woman he has been romantically involved with is murdered. He is assigned to investigate the case, but is soon charged with the murder.",22000000, Drama Thriller Crime Mystery,1990-07-26,7.025657,221303188.0,Alan J. Pakula, Harrison Ford Brian Dennehy Raúl Juliá, loss of lover lover (female) investigation lawyer courtroom
6867,18410,Project X,/lYpFgtaUsu1e9yeWWutO9Sa01TB.jpg,"A young inductee into the military is given the task of looking after some chimpanzees used in the mysterious ""Project X"". Getting to know the chimps fairly well, he begins to suspect there is more to the secret project than he is being told.",18000000, Drama,1987-04-17,10.000775,18532286.0,Jonathan Kaplan, Matthew Broderick Helen Hunt Willie, chimp
6868,14904,Proof,/ghPbOsvg8WrJQBSThtNakBGuDi4.jpg,The life of a blind photographer who is looked after by a housekeeper is disrupted by the arrival of an agreeable restaurant worker.,0, Drama,1991-08-15,2.616309,524668.0,Jocelyn Moorhouse, Hugo Weaving Russell Crowe Geneviève Picot, photographer independent film blind woman director blind man
6869,19065,Pure Luck,/cFztt9qWWg0SrJmTDsvXlsXPkDF.jpg,"The daughter of a wealthy businessman has disappeared in Mexico, and all the efforts to find her have been unsuccessful. A psychologist, knowing that the girl has an ultra bad luck, persuades her father to send to Mexico one of his employees, an accountant with super bad luck, to find her. Perhaps he will be lucky, and his bad luck could help to find the unlucky girl.",17010000, Comedy Crime Mystery,1991-08-09,2.07443,24941969.0,Nadia Tass, Martin Short Danny Glover Harry Shearer, woman director
6870,3176,バトル・ロワイアル,/4J5hW5wwT20hYSEPfxvfxNLjHcg.jpg,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",4500000, Drama Thriller Adventure,2000-12-16,12.701098,25000000.0,Kinji Fukasaku, Takeshi Kitano Tsuyako Kinoshita Eri Ishikawa, island television survivor soldier battle death game of death school class
6871,9261,喜宴,/q0rDZgwfgUywEhj07qQTQ0CnNLz.jpg,A Taiwanese-American man is happily settled in New York with his American boyfriend. He plans a marriage of convenience to a Chinese woman in order to keep his parents off his back and to get the woman a green card. Chaos follows when his parents arrive in New York for the wedding.,1000000, Comedy Drama Romance,1993-08-04,2.709403,6933459.0,Ang Lee, Kuei Ya-Lei Sihung Lung May Chin, gay new york father son relationship wife husband relationship coming out wedding night taiwan homosexuality independent film wedding family
6874,14671,Summer School,/8FdT0KcNj1RnNiB1B5QmcIOLtOc.jpg,"A high-school gym teacher has big plans for the summer, but is forced to cancel them to teach a ""bonehead"" English class for misfit goof-off students. Fortunately, his unconventional brand of teaching fun field trips begins to connect with them, and even inspires ardor in some.",0, Comedy,1987-07-22,4.912295,35114428.0,Carl Reiner, Mark Harmon Kirstie Alley Courtney Thorne-Smith, high school misfit teacher school teen movie summer teenager teaching summer school
6878,20763,Radio Flyer,/5KsYLtIkdOashTbSCh8npZr7i3l.jpg,"A father reminisces about his childhood when he and his younger brother moved to a new town with their mother, her new husband and their dog, Shane. When the younger brother is subjected to physical abuse at the hands of their brutal stepfather, Mike decides to convert their toy trolley, the ""Radio Flyer"", into a plane to fly him to safety.",35000000, Drama,1992-02-21,5.618237,4651977.0,Richard Donner, Elijah Wood Lorraine Bracco Adam Baldwin, step father physical abuse abuse
6880,14249,Revenge,/j0dnMRoeYZ5KoIymS9qVHdgo8xX.jpg,"Michael ‘Jay’ Cochran has just left the Navy after 12 years and he's not quite sure what he's going to do, except that he knows he wants a holiday. He decides to visit Tiburon Mendez, a powerful but shady Mexican businessman who he once flew to Alaska for a hunting trip. Arriving at the Mendez mansion in Mexico, he is immediately surprised by the beauty and youth of Mendez’s wife, Miryea.",0, Thriller Drama Romance Crime,1990-02-16,7.429491,15645616.0,Tony Scott, Kevin Costner Anthony Quinn Madeleine Stowe, mexico revenge suspense betrayal
6881,10021,The Secret of My Success,/mSgIebRtU7Lc2uxksoUGHClFB6e.jpg,"Brantley Foster, a well-educated kid from Kansas, has always dreamed of making it big in New York, but once in New York, he learns that jobs - and girls - are hard to get. When Brantley visits his uncle, Howard Prescott, who runs a multi-million-dollar company, he is given a job in the company's mail room.",12000000, Comedy,1987-04-10,5.409557,110996879.0,Herbert Ross, Michael J. Fox Helen Slater Richard Jordan, dual identity mistake in person college success wealth
6883,14746,Streets of Fire,/cbd7haj22LgogH8PycigSVmCNY7.jpg,"Raven Shaddock and his gang of merciless biker friends kidnap rock singer Ellen Aim. Ellen's former lover, soldier-for-hire Tom Cody, happens to be passing through town on a visit. In an attempt to save his star act, Ellen's manager hires Tom to rescue her. Along with a former soldier, they battle through dangerous cityscapes, determined to get Ellen back.",14500000, Action Thriller Music,1984-06-01,6.958758,8089290.0,Walter Hill, Michael Paré Diane Lane Rick Moranis, fan rescue singer motorcycle motorcycle gang
6885,8222,Tacones lejanos,/gjT3TPnfPpCBIwYgav5JCsm9Ldk.jpg,"High Heels is a murder mystery comedy centering on flamboyant actress Becky del Paramo and her daughter Rebecca, a television anchorwoman. After being estranged for 15 years, Becky re-enters Rebecca's life when she comes to perform a concert.  Rebecca, she finds, is now married to one of Becky's ex-lovers, Manuel. The mother and daughter begin making up for lost time, when suddenly, a murder occurs...",0, Comedy Drama Romance,1991-10-23,4.563892,1710057.0,Pedro Almodóvar, Victoria Abril Marisa Paredes Miguel Bosé, madrid cheating singer mother daughter relationship
6888,9846,To Live and Die in L.A.,/yvB4OUjVHXArN3qE3IDfn4yrzJm.jpg,A fearless Secret Service agent will stop at nothing to bring down the counterfeiter who killed his partner.,0, Action Crime Thriller,1985-11-01,6.186999,17307019.0,William Friedkin, William Petersen Willem Dafoe John Pankow, hold-up robbery cops counterfeit los angeles secret service
6889,23719,Trapped in Paradise,/pThrPg55GfBfUt3AxNjkhhayIko.jpg,The Firpo Brothers can get away with anything. They just can't get away!,0, Action Comedy,1994-12-02,4.720595,5777916.0,George Gallo, Nicolas Cage Jon Lovitz Dana Carvey, holiday bank robbery christmas
6890,11986,37°2 le matin,/1jTxGJpBprjThrRNhBkjZgyTyIY.jpg,"Betty Blue, a mentally unbalanced and sexually aggressive free spirit who becomes involved with Zorg, a repairman moonlighting as a writer. The two engage in a variety of sexual encounters, and grow more passionate toward each other. Betty finds Zorg’s book and is aggressively supportive; over time, her instability begin to catch up with her, leading to a grisly and shocking conclusion.",0, Drama Romance,1986-04-09,6.493744,2003822.0,Jean-Jacques Beineix, Jean-Hugues Anglade Béatrice Dalle Gérard Darmon, self-destruction mental breakdown kiss self-inflicted injury borderline personality disorder femme fatale
6891,1626,Vivre sa vie: film en douze tableaux,/baz1c9dzsf5uhNuUYhXy7eudNJd.jpg,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,64000, Drama,1962-09-20,11.30591,24517.0,Jean-Luc Godard, Anna Karina Sady Rebbot André S. Labarthe, paris philosophy prostitute pimp female protagonist prostitution free will woman smoking pinball machine rule of law
6892,483,Wild at Heart,/d4fbQjSSBd4FPyAROln1skafChr.jpg,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,9500000, Comedy Crime Thriller,1990-05-01,8.528622,14560247.0,David Lynch, Nicolas Cage Laura Dern Willem Dafoe, prison sex witch hotel room texas loss of father car journey new orleans hitman snake skin jacket fairy murder car crash escape mother daughter relationship pistol violence killer bank robbery car hoodlum
6893,10166,The Witches,/kke639pfyxMNy8LekWSBVHbljeO.jpg,"A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?",0, Adventure Fantasy Horror,1990-02-16,8.208991,15360553.0,Nicolas Roeg, Anjelica Huston Mai Zetterling Jasen Fisher, witch chocolate mouse grandmother grandson relationship bald
6894,6069,The Witches of Eastwick,/bbSI4kC8LlqwQPUUlJbcq6sw1qT.jpg,Three single women in a picturesque village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives.,0, Fantasy Horror Comedy,1987-06-12,13.031671,63766510.0,George Miller, Jack Nicholson Cher Susan Sarandon, witch new england
6895,11018,Year of the Dragon,/2VNpJhcfHXKqTCx7HDZJv3SJ3Fh.jpg,"In New York, racist Capt. Stanley White becomes obsessed with destroying a Chinese-American drug ring run by Joey Tai, an up-and-coming young gangster as ambitious as he is ruthless. While pursuing an unauthorized investigation, White grows increasingly willing to violate police protocol, resorting to progressively violent measures -- even as his concerned wife, Connie, and his superiors beg him to consider the consequences of his actions.",24000000, Action Crime Drama Thriller,1985-08-16,7.505786,18707466.0,Michael Cimino, Mickey Rourke John Lone Ariane, heroin drug smuggle chinese mafia cop china town
6900,43875,Mary of Scotland,/dAnn8MVJIWi8HyQsZL2w9G9zvEg.jpg,The recently widowed Mary Stuart returns to Scotland to reclaim her throne but is opposed by her half-brother and her own Scottish lords.,864000, Drama History,1936-08-28,4.466335,1276000.0,John Ford, Katharine Hepburn Fredric March Florence Eldridge, scotland england queen tudors mary queen of scots execution protestant catholicism 16th century
6903,20325,Swing Time,/kvCtsd0YcaLzHGS1Tc6RQ6roQm1.jpg,"Lucky is tricked into missing his wedding to Margaret by the other members of Pop's magic and dance act, and has to make $25000 to be allowed to marry her. He and Pop go to New York where they run into Penny, a dancing instructor. She and Lucky form a successful dance partnership, but romance is blighted (till the end of the film at least!) by his old attachment to Margaret and hers for Ricardo, the band leader who won't play for them to dance together.",886000, Comedy Music Romance,1936-08-27,6.507597,2600000.0,George Stevens, Fred Astaire Ginger Rogers Victor Moore, musical ballroom dancing
6908,12545,Jesus Christ Superstar,/oEWvnlFOPMl6dN7isxUvWRRNQby.jpg,"Oscar-nominated film adaptation of the rock opera of the same name, based on the last weeks before the crucifixion of Jesus. The film was directed by Norman Jewison. Ted Neeley and Carl Anderson were nominated for two 1974 Golden Globe Award for their portrayals of Jesus and Judas, respectively.",0, Drama History Music,1973-08-15,4.980716,13200000.0,Norman Jewison, Ted Neeley Carl Anderson Yvonne Elliman, israel dance jesus christ crucifixion musical judas rock opera
6910,898,Birdman of Alcatraz,/sIzesANhTImFyeIdL0hrqMzgckG.jpg,"After killing a prison guard, convict Robert Stroud faces life imprisonment in solitary confinement. Driven nearly mad by loneliness and despair, Stroud's life gains new meaning when he happens upon a helpless baby sparrow in the exercise yard and nurses it back to health. Despite having only a third grade education, Stroud goes on to become a renowned ornithologist and achieves a greater sense of freedom and purpose behind bars than most people find in the outside world.",2650000, Drama,1962-07-03,4.471515,3100000.0,John Frankenheimer, Burt Lancaster Karl Malden Thelma Ritter, usa prison rebel prisoner difficult childhood bird alcatraz ornithology biography solitary confinement warden
